validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
GroupKFold5,residual,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",ZeroResidual,-0.0015988463655529639,0.5565010457798181,0.7074271420410592,0.0,0.0
GroupKFold5,residual,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",H,0.25004646027599975,0.4194044903812409,0.6121417352711791,24.6354533272198,13.469289076888385
GroupKFold5,residual,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",SpatialResidual,0.5208508865319867,0.35535719559229745,0.4892942984554287,36.14437955020556,30.834672664138463
GroupKFold5,residual,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",ZeroResidual,-0.0010234082640745434,0.5219946065438275,0.6197750374947312,0.0,0.0
GroupKFold5,residual,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",H,0.3311004903979601,0.3662983174917535,0.5066317493173742,29.827183480487065,18.255541338790824
GroupKFold5,residual,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",SpatialResidual,0.5552907328660102,0.32607798775364144,0.4130951094480971,37.5323071032031,33.347572190399994
GroupKFold5,residual,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",ZeroResidual,-0.003449469477681655,0.5333517234975181,0.6605571466910187,0.0,0.0
GroupKFold5,residual,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",H,0.27595755104717357,0.38543859147219867,0.5611056684729682,27.732755986117624,15.05569634909572
GroupKFold5,residual,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",SpatialResidual,0.46824455224068984,0.35856270627210635,0.48085995973931217,32.77181070667809,27.203882033807055
GroupKFold5,residual,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",ZeroResidual,-6.42127178480667e-05,0.534592976990165,0.6252114718937536,0.0,0.0
GroupKFold5,residual,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",H,0.4167490764287428,0.35194646093223153,0.47746408857212624,34.165528527190816,23.63158546565106
GroupKFold5,residual,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",SpatialResidual,0.5688740134281352,0.2974695425415577,0.4105018282215792,44.35588282203895,34.34192322508462
GroupKFold5,increment,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Persistence,-0.25839886827696,0.37478129577464786,0.5258509716173676,0.0,0.0
GroupKFold5,increment,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N,0.1833175187560213,0.30062479418392385,0.4236235945318454,19.78660686292988,19.440370485786104
GroupKFold5,increment,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N+H,0.18445709107496722,0.3002764353958676,0.42332793602685515,19.87955674916585,19.496595256861625
GroupKFold5,increment,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Spatial,0.18563812536731905,0.299795259079463,0.4230213022851048,20.007945311196433,19.5549071661859
GroupKFold5,increment,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Persistence,-0.225004985598507,0.380412552112676,0.5723275355542489,0.0,0.0
