validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
LOSO,absolute,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,Persistence,0.9906656175015116,0.3318993577464789,0.45242612766269896,0.0,0.0
LOSO,absolute,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,N,0.9791049173783483,0.5088276782985074,0.6769037613113117,-53.30782251382815,-49.616416896234036
LOSO,absolute,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,N+H,0.9869932726932918,0.3954799576758122,0.534058582249124,-19.156590226938402,-18.043267087192874
LOSO,absolute,50,2,"1001,1003,1004,1005,1006,1007,1008,1009,1010",1002,Spatial,0.9873453617911517,0.38481133307592774,0.526780569702325,-15.942174666654715,-16.4346039040124
LOSO,absolute,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,Persistence,0.9898735450284605,0.29775665352112674,0.398316675205595,0.0,0.0
LOSO,absolute,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,N,0.9812572043926006,0.4721223804122278,0.5418972596492267,-58.559808766365414,-36.0468424701329
LOSO,absolute,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,N+H,0.9911434260372136,0.2992591187929229,0.3725054637265267,-0.5045950288696219,6.480073038806517
LOSO,absolute,50,3,"1001,1002,1004,1005,1006,1007,1008,1009,1010",1003,Spatial,0.9940294089520683,0.23744526183406148,0.3058499634631786,20.25526246814363,23.21437125239329
LOSO,absolute,50,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,Persistence,0.9913825997533486,0.3150831323943662,0.4256702558266778,0.0,0.0
LOSO,absolute,50,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,N,0.9813587627717019,0.5280895128146486,0.6260694881231628,-67.60323182063522,-47.07851430852207
LOSO,absolute,50,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,N+H,0.9899185496845802,0.3934867923302571,0.460412047397266,-24.8834837143103,-8.161667651200462
LOSO,absolute,50,4,"1001,1002,1003,1005,1006,1007,1008,1009,1010",1004,Spatial,0.9929399314595716,0.2992514950683107,0.38529167976153966,5.024590559878078,9.485881503916792
LOSO,absolute,50,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,Persistence,0.9914251935110494,0.33453758873239436,0.44301462632188693,0.0,0.0
LOSO,absolute,50,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,N,0.9817165411819062,0.5418093704429874,0.6468969147524236,-61.957695843977426,-46.02157046670492
LOSO,absolute,50,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,N+H,0.991974137205314,0.34019481176649413,0.4285996049723071,-1.6910575148029576,3.2538477271642328
LOSO,absolute,50,5,"1001,1002,1003,1004,1006,1007,1008,1009,1010",1005,Spatial,0.9943015815835061,0.28303419594290624,0.361146215655216,15.395397863851729,18.479843734817628
LOSO,absolute,50,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,Persistence,0.9910666837350799,0.312308461971831,0.409479670140437,0.0,0.0
LOSO,absolute,50,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,N,0.9857096884151512,0.4441126963103973,0.5179011067604625,-42.203222258657384,-26.47785580730804
LOSO,absolute,50,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,N+H,0.9939953744463714,0.2812033336123953,0.3357136153675526,9.959745619137674,18.01458293340552
