day,iteration_end_of_day,tumor_cells,crm_ms,frm_ms,frm_crm_ratio,kernel_delta_ms,kernel_mean_ms
79,1896,33323,2.837074,13.354941,4.70729385275111,10.517867,8.0960075
80,1920,35749,3.166863,14.510359,4.581934551636746,11.343495999999998,8.838611
81,1944,36003,3.178735,16.846699,5.299812346735416,13.667964000000001,10.012717
82,1968,37389,3.284527,13.936889,4.243195138904323,10.652362,8.610708
83,1992,38744,3.39899,14.823765,4.3612264231433455,11.424775,9.1113775
84,2016,39475,3.512558,15.236339,4.337676132322939,11.723780999999999,9.3744485
85,2040,40095,3.490669,16.020463,4.589510778592872,12.529793999999999,9.755566
86,2064,40274,3.45179,15.082324,4.369421082974341,11.630534,9.267057
87,2088,42153,3.805068,16.379789,4.304729639522868,12.574720999999998,10.092428499999999
88,2112,43293,3.667437,14.464599,3.9440620247873377,10.797162,9.066018
89,2136,44273,3.798797,13.929082,3.6667086975166083,10.130284999999999,8.863939499999999
90,2160,45736,3.828524,15.535121,4.057731125624392,11.706597,9.681822499999999
91,2184,47488,4.047947,16.521004,4.081329128074059,12.473057,10.284475500000001
92,2208,49406,4.413289,19.01872,4.309420933004841,14.605431,11.716004499999999
93,2232,50391,4.306538,18.901057,4.388921449201192,14.594519000000002,11.6037975
94,2256,50669,4.249546,18.997856,4.470561325845161,14.74831,11.623700999999999
95,2280,51323,4.641225,19.570654,4.216700116887244,14.929429,12.105939500000002
96,2304,53919,4.579081,20.477048,4.471868481907177,15.897967,12.5280645
97,2328,54826,4.770119,22.147248,4.642913101329338,17.377129,13.458683500000001
98,2352,55748,5.026151,19.349791,3.849822856495955,14.323640000000001,12.187971
99,2376,56160,4.76132,18.531235,3.892037292179479,13.769914999999997,11.6462775
100,2400,56537,4.908743,19.345919,3.9411146601074853,14.437175999999997,12.127331
101,2424,58139,4.939014,19.148416,3.8769713955052567,14.209402,12.043715
102,2448,59701,5.294469,20.904726,3.9484084239609296,15.610257,13.0995975
103,2472,61119,5.502276,23.738632,4.31432956107618,18.236356,14.620453999999999
104,2496,62085,5.358916,21.209429,3.9577834397852105,15.850513,13.2841725
105,2520,63121,5.254757,19.271518,3.667442281346217,14.016761,12.2631375
106,2544,63781,5.398212,19.188448,3.5545932616207,13.790236,12.293330000000001
107,2568,65339,5.676835,23.399722,4.121966201237133,17.722887,14.5382785
108,2592,67065,5.740227,23.378378,4.072727089015818,17.638151,14.559302500000001
109,2616,67675,5.847842,25.522944,4.364506428183251,19.675102,15.685393
110,2640,69762,6.175648,25.557503,4.13843259849007,19.381855,15.8665755
111,2664,71292,6.223456,24.805347,3.9857833011111516,18.581891000000002,15.5144015
112,2688,74432,6.828221,25.013634,3.663272468773345,18.185413,15.9209275
113,2712,76444,6.813053,25.862877,3.796077470702195,19.049824,16.337965
114,2736,76012,6.613182,25.791485,3.9000113712279507,19.178303,16.2023335
115,2760,75307,6.927772,24.394501,3.5212621027366375,17.466729,15.661136500000001
116,2784,76421,6.90438,23.719304,3.435399557961758,16.814924,15.311842
117,2808,79797,7.205819,25.092065,3.482194737336589,17.886246,16.148942
118,2832,82242,7.770424,25.067617,3.2260294933712754,17.297193,16.4190205
119,2856,83789,7.555001,26.254779,3.4751522865450317,18.699778,16.904889999999998
120,2880,85393,7.980951,26.000509,3.25782090379956,18.019558,16.99073
121,2904,85382,7.63609,29.672074,3.8857679781144534,22.035984,18.654082
122,2928,87859,7.977752,33.397847,4.186373178810271,25.420095,20.6877995
123,2952,91357,8.732947,30.258248,3.464838158298682,21.525301,19.4955975
124,2976,93002,9.126225,29.696682,3.25399406654997,20.570456999999998,19.4114535
