iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
1730,73,2,28643,0.0273161,0.354614,0.327298,13,0.203125,2.94819,2.97472
1740,73,12,29493,0.0281267,0.354919,0.326793,13,0.203125,2.92079,3.38534
1750,73,22,29387,0.0280256,0.365479,0.337453,13,0.203125,2.92367,3.21536
1760,74,8,30160,0.0287628,0.368713,0.339951,14,0.21875,2.89346,3.16826
1770,74,18,30206,0.0288067,0.362671,0.333864,14,0.21875,2.89255,3.28499
1780,75,4,30945,0.0295115,0.373169,0.343657,14,0.21875,2.88451,3.49594
1790,75,14,31297,0.0298471,0.365967,0.33612,13,0.203125,2.83551,3.01568
1800,75,24,31212,0.0297661,0.357666,0.3279,13,0.203125,2.81692,3.46419
1810,76,10,32135,0.0306463,0.364807,0.334161,13,0.203125,2.81472,3.16723
1820,76,20,32196,0.0307045,0.373291,0.342587,13,0.203125,2.794,3.16416
1830,77,6,32406,0.0309048,0.363159,0.332254,14,0.21875,2.75656,3.24813
1840,77,16,32864,0.0313416,0.380737,0.349396,13,0.203125,2.75168,3.26349
1850,78,2,33090,0.0315571,0.367493,0.335936,14,0.21875,2.72978,3.26758
1860,78,12,33097,0.0315638,0.361084,0.32952,13,0.203125,2.72058,3.6096
1870,78,22,33387,0.0318403,0.357727,0.325887,13,0.203125,2.70386,3.584
1880,79,8,33674,0.032114,0.353943,0.321829,13,0.203125,2.67301,3.18054
1890,79,18,34145,0.0325632,0.369019,0.336455,13,0.203125,2.66862,3.31264
1900,80,4,34712,0.0331039,0.362915,0.329811,13,0.203125,2.65619,3.71814
1910,80,14,34538,0.032938,0.358093,0.325155,14,0.21875,2.63384,3.95571
1920,80,24,35129,0.0335016,0.364502,0.331,13,0.203125,2.63497,3.74682
1930,81,10,35796,0.0341377,0.37323,0.339092,15,0.234375,2.64003,3.61062
1940,81,20,36854,0.0351467,0.378906,0.34376,15,0.234375,2.60942,4.08883
1950,82,6,37372,0.0356407,0.383545,0.347904,15,0.234375,2.59529,4.07552
1960,82,16,37194,0.035471,0.385315,0.349844,15,0.234375,2.60341,4.06637
1970,83,2,37748,0.0359993,0.38855,0.352551,16,0.25,2.57918,4.14208
1980,83,12,38038,0.0362759,0.363098,0.326822,14,0.21875,2.53991,3.86867
1990,83,22,37987,0.0362272,0.362488,0.326261,14,0.21875,2.51778,4.13491
2000,84,8,37943,0.0361853,0.358643,0.322457,14,0.21875,2.5152,3.90653
2010,84,18,37568,0.0358276,0.360535,0.324707,14,0.21875,2.50023,4.15747
2020,85,4,37284,0.0355568,0.356323,0.320766,14,0.21875,2.47981,3.94547
2030,85,14,38898,0.037096,0.35614,0.319044,14,0.21875,2.47233,4.26496
2040,85,24,39584,0.0377502,0.367188,0.329437,14,0.21875,2.48089,4.19328
2050,86,10,40056,0.0382004,0.358459,0.320259,15,0.234375,2.48143,3.8912
2060,86,20,40678,0.0387936,0.365967,0.327173,15,0.234375,2.44837,4.15645
2070,87,6,41356,0.0394402,0.375977,0.336536,15,0.234375,2.45438,4.38374
2080,87,16,42159,0.040206,0.384338,0.344132,15,0.234375,2.43704,4.42266
